0,instantaneous_scfh,instantaneous_kgh,moving_kgh,moving_scfh
2021-11-04 16:44:11+00:00,-225.8,-4.188794559,-4.127088388,-222.4736842
2021-11-04 16:44:12+00:00,-225.9,-4.19064965,-4.129919842,-222.6263158
2021-11-04 16:44:13+00:00,-225.1,-4.175808925,-4.134996932,-222.9
2021-11-04 16:44:14+00:00,-224,-4.155402929,-4.13987875,-223.1631579
2021-11-04 16:44:15+00:00,-225.9,-4.19064965,-4.146908567,-223.5421053
2021-11-04 16:44:16+00:00,-226.2,-4.196214922,-4.152278566,-223.8315789
2021-11-04 16:44:17+00:00,-226.8,-4.207345465,-4.155500565,-224.0052632
2021-11-04 16:44:18+00:00,-224.5,-4.164678382,-4.157160383,-224.0947368
2021-11-04 16:44:19+00:00,-223.6,-4.147982566,-4.155207656,-223.9894737
2021-11-04 16:44:20+00:00,-223.7,-4.149837657,-4.153645475,-223.9052632
2021-11-04 16:44:21+00:00,-225.2,-4.177664016,-4.156281656,-224.0473684
2021-11-04 16:44:22+00:00,-225.4,-4.181374197,-4.160870564,-224.2947368
2021-11-04 16:44:23+00:00,-224.7,-4.168388563,-4.1631162,-224.4157895
2021-11-04 16:44:24+00:00,-226.9,-4.209200556,-4.167216927,-224.6368421
2021-11-04 16:44:25+00:00,-225.6,-4.185084378,-4.171122381,-224.8473684
2021-11-04 16:44:26+00:00,-225.9,-4.19064965,-4.175223107,-225.0684211
2021-11-04 16:44:27+00:00,-227.4,-4.218476009,-4.179030925,-225.2736842
2021-11-04 16:44:28+00:00,-225.9,-4.19064965,-4.180690743,-225.3631579
2021-11-04 16:44:29+00:00,-224.5,-4.164678382,-4.181764742,-225.4210526
2021-11-04 16:44:30+00:00,-222.6,-4.12943166,-4.178640379,-225.2526316
2021-11-04 16:44:31+00:00,-222.9,-4.134996932,-4.175711289,-225.0947368
2021-11-04 16:44:32+00:00,-224.3,-4.160968201,-4.174930198,-225.0526316
2021-11-04 16:44:33+00:00,-224.8,-4.170243654,-4.175711289,-225.0947368
2021-11-04 16:44:34+00:00,-226.8,-4.207345465,-4.176590016,-225.1421053
2021-11-04 16:44:35+00:00,-225.2,-4.177664016,-4.175613653,-225.0894737
2021-11-04 16:44:36+00:00,-224.5,-4.164678382,-4.173368017,-224.9684211
2021-11-04 16:44:37+00:00,-225,-4.173953835,-4.173856198,-224.9947368
2021-11-04 16:44:38+00:00,-224,-4.155402929,-4.174246744,-225.0157895
2021-11-04 16:44:39+00:00,-222.9,-4.134996932,-4.173465653,-224.9736842
2021-11-04 16:44:40+00:00,-222.9,-4.134996932,-4.171220017,-224.8526316
2021-11-04 16:44:41+00:00,-224.6,-4.166533472,-4.170438926,-224.8105263
2021-11-04 16:44:42+00:00,-225,-4.173953835,-4.170731835,-224.8263158
2021-11-04 16:44:43+00:00,-225.7,-4.186939469,-4.169560199,-224.7631579
2021-11-04 16:44:44+00:00,-226.1,-4.194359831,-4.170048381,-224.7894737
2021-11-04 16:44:45+00:00,-225.6,-4.185084378,-4.169755472,-224.7736842
2021-11-04 16:44:46+00:00,-226.5,-4.201780194,-4.168876745,-224.7263158
2021-11-04 16:44:47+00:00,-226.4,-4.199925103,-4.169364926,-224.7526316
2021-11-04 16:44:48+00:00,-227.8,-4.225896371,-4.172586926,-224.9263158
2021-11-04 16:44:49+00:00,-226.8,-4.207345465,-4.176687652,-225.1473684
2021-11-04 16:44:50+00:00,-227.2,-4.214765828,-4.180886015,-225.3736842
2021-11-04 16:44:51+00:00,-225.4,-4.181374197,-4.181960015,-225.4315789
2021-11-04 16:44:52+00:00,-226.2,-4.196214922,-4.183326924,-225.5052632
2021-11-04 16:44:53+00:00,-225.6,-4.185084378,-4.182155288,-225.4421053
2021-11-04 16:44:54+00:00,-226.1,-4.194359831,-4.183034015,-225.4894737
2021-11-04 16:44:55+00:00,-226.1,-4.194359831,-4.184596197,-225.5736842
2021-11-04 16:44:56+00:00,-224.8,-4.170243654,-4.184400924,-225.5631579
2021-11-04 16:44:57+00:00,-225.9,-4.19064965,-4.186256014,-225.6631579
2021-11-04 16:44:58+00:00,-225.1,-4.175808925,-4.188404014,-225.7789474
2021-11-04 16:44:59+00:00,-224.1,-4.157258019,-4.18957565,-225.8421053
2021-11-04 16:45:00+00:00,-224,-4.155402929,-4.188989832,-225.8105263
2021-11-04 16:45:01+00:00,-223.9,-4.153547838,-4.187915832,-225.7526316
2021-11-04 16:45:02+00:00,-223.5,-4.146127476,-4.185767833,-225.6368421
2021-11-04 16:45:03+00:00,-224.2,-4.15911311,-4.183912742,-225.5368421
2021-11-04 16:45:04+00:00,-225,-4.173953835,-4.183326924,-225.5052632
2021-11-04 16:45:05+00:00,-224,-4.155402929,-4.180886015,-225.3736842
2021-11-04 16:45:06+00:00,-223.5,-4.146127476,-4.178054561,-225.2210526
2021-11-04 16:45:07+00:00,-223.8,-4.151692748,-4.174149107,-225.0105263
